Date,GBP_USD
9/18/2006,1.881184
9/19/2006,1.881786
9/20/2006,1.887291
9/21/2006,1.902189
9/22/2006,1.901683
9/25/2006,1.900599
9/26/2006,1.895016
9/27/2006,1.889288
9/28/2006,1.876701
9/29/2006,1.871713
10/2/2006,1.886899
10/3/2006,1.885903
10/4/2006,1.886401
10/5/2006,1.878605
10/6/2006,1.871293
10/9/2006,1.867483
10/10/2006,1.853603
10/11/2006,1.85484
10/12/2006,1.859496
10/13/2006,1.855184
10/16/2006,1.862301
10/17/2006,1.871783
10/18/2006,1.867483
10/19/2006,1.877088
10/20/2006,1.883097
10/23/2006,1.873501
10/24/2006,1.873501
10/25/2006,1.878993
10/26/2006,1.890609
10/27/2006,1.896885
10/30/2006,1.899804
10/31/2006,1.908288
11/1/2006,1.907305
11/2/2006,1.908215
11/3/2006,1.901105
11/6/2006,1.89829
11/7/2006,1.905597
11/8/2006,1.905197
11/9/2006,1.906905
11/10/2006,1.912192
11/13/2006,1.905052
11/14/2006,1.896202
11/15/2006,1.889395
11/16/2006,1.888396
11/17/2006,1.89811
11/20/2006,1.897389
11/21/2006,1.899516
11/22/2006,1.914608
11/23/2006,1.916002
11/24/2006,1.931882
11/27/2006,1.93821
11/28/2006,1.953201
11/29/2006,1.946018
11/30/2006,1.966414
12/1/2006,1.980512
12/4/2006,1.980786
12/5/2006,1.973515
12/6/2006,1.966414
12/7/2006,1.962786
12/8/2006,1.954385
12/11/2006,1.960016
12/12/2006,1.971298
12/13/2006,1.967807
12/14/2006,1.962208
12/15/2006,1.953888
12/18/2006,1.948482
12/19/2006,1.971298
12/20/2006,1.965795
12/21/2006,1.962516
12/22/2006,1.957905
12/25/2006,1.959209
12/26/2006,1.955608
12/27/2006,1.956985
12/28/2006,1.962208
12/29/2006,1.959209
1/1/2007,1.964212
1/2/2007,1.973399
1/3/2007,1.95221
1/4/2007,1.942993
1/5/2007,1.9308
1/8/2007,1.940316
1/9/2007,1.939187
1/10/2007,1.932404
1/11/2007,1.944504
1/12/2007,1.957215
1/15/2007,1.964405
1/16/2007,1.961207
1/17/2007,1.970599
1/18/2007,1.974217
1/19/2007,1.973204
1/22/2007,1.97691
1/23/2007,1.9822
1/24/2007,1.968
1/25/2007,1.9651
1/26/2007,1.9599
1/29/2007,1.961784
1/30/2007,1.962092
1/31/2007,1.963402
2/1/2007,1.96711
2/2/2007,1.966182
2/5/2007,1.960784
2/6/2007,1.970987
2/7/2007,1.971453
2/8/2007,1.95871
2/9/2007,1.982789
2/12/2007,1.947306
2/13/2007,1.94579
2/14/2007,1.964907
2/15/2007,1.95141
2/16/2007,1.950116
2/19/2007,1.950915
2/20/2007,1.956411
2/21/2007,1.953697
2/22/2007,1.956411
2/23/2007,1.962708
2/26/2007,1.963903
2/27/2007,1.962708
2/28/2007,1.964019
3/1/2007,1.957598
3/2/2007,1.942615
3/5/2007,1.920787
3/6/2007,1.935209
3/7/2007,1.930092
3/8/2007,1.929794
3/9/2007,1.934199
3/12/2007,1.932218
3/13/2007,1.928789
3/14/2007,1.938886
3/15/2007,1.938698
3/16/2007,1.942615
3/19/2007,1.946207
3/20/2007,1.9619
3/21/2007,1.96831
3/22/2007,1.9651
3/23/2007,1.962516
3/26/2007,1.970094
3/27/2007,1.9668
3/28/2007,1.962593
3/29/2007,1.963209
3/30/2007,1.952515
4/2/2007,1.9782
4/3/2007,1.973399
4/4/2007,1.976402
4/5/2007,1.971492
4/6/2007,1.985506
4/9/2007,1.962016
4/10/2007,1.971803
4/11/2007,1.976206
4/12/2007,1.980394
4/13/2007,1.986492
4/16/2007,1.988704
4/17/2007,2.007387
4/18/2007,2.009
4/19/2007,2.003607
4/20/2007,2.004611
4/23/2007,2.001001
4/24/2007,2.002082
4/25/2007,2.002002
4/26/2007,1.990485
4/27/2007,1.998601
4/30/2007,2
5/1/2007,1.998082
5/2/2007,1.988783
